Symbol,Description,"Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY"
AMAT,"Applied Materials, Inc.",26817000000,USD,1.3683613683613700,12701000000,USD,7775000000,USD,7450000000,USD,8187000000,USD,8.8988,USD,17.32721567386550
GS,"Goldman Sachs Group, Inc. (The)",121380000000,USD,30.419366276633500,,,14314000000,USD,11241000000,USD,,,31.145,USD,
SPGI,S&P Global Inc.,13276000000,USD,10.092047433452200,7894000000,USD,5069000000,USD,3323000000,USD,6219000000,USD,10.5502,USD,45.821700069108500
CMCSA,Comcast Corporation,121114000000,USD,0.42203888727664700,71310000000,USD,23403000000,USD,15090000000,USD,37515000000,USD,3.7527,USD,137.96448953709600
UBER,"Uber Technologies, Inc.",40059000000,USD,14.444476187755300,12197000000,USD,2717000000,USD,2011000000,USD,3496000000,USD,0.9295,USD,
UNP,Union Pacific Corporation,24138000000,USD,-2.5317989097516700,10757000000,USD,9327000000,USD,6494000000,USD,11715000000,USD,10.6449,USD,-2.857273225041070
PGR,Progressive Corporation (The),67801000000,USD,21.328003092207900,,,8992500000,USD,6899200000,USD,,,11.6892,USD,300.4796491708920
T,AT&T Inc.,122197000000,USD,0.6216959536239520,53246000000,USD,24690000000,USD,12725000000,USD,44280000000,USD,1.7409,USD,
ARM,Arm Holdings plc,3497000000,USD,31.36739293764090,3237500000,USD,186000000,USD,424000000,USD,350000000,USD,0.3933,USD,0.25490695895998000
SYK,Stryker Corporation,21389000000,USD,9.94088923156001,13092000000,USD,4572000000,USD,3448000000,USD,5602000000,USD,8.9663,USD,26.692759848527700
TJX,"TJX Companies, Inc. (The)",55623000000,USD,8.580805940021890,17587000000,USD,6070000000,USD,4763000000,USD,7096000000,USD,4.1407,USD,21.43883626125470
LMT,Lockheed Martin Corporation,71069000000,USD,5.4545724333387700,8611000000,USD,8611000000,USD,6736000000,USD,10092000000,USD,27.5567,USD,0.7811842841521250
PDD,PDD Holdings Inc.,47273720908.1941,USD,99.26217888998010,29517403271.1799,USD,13506248062.1203,USD,13679264006.3836,USD,,,9.2729,USD,127.74025591276400
HON,Honeywell International Inc.,37319000000,USD,3.279459788564790,14595000000,USD,8022000000,USD,5784000000,USD,9231000000,USD,8.7692,USD,8.529702970297030
COP,ConocoPhillips,56287000000,USD,-15.216376206901700,17526000000,USD,14766000000,USD,10651000000,USD,23737000000,USD,8.982,USD,-13.606371313698700
NKE,"Nike, Inc.",51386000000,USD,0.3809263347072730,22617000000,USD,6043000000,USD,5700000000,USD,6839000000,USD,3.7263,USD,15.468996932230200
ETN,"Eaton Corporation, PLC",24140000000,USD,9.498321691009710,9057000000,USD,4460000000,USD,3651000000,USD,5372000000,USD,9.0922,USD,34.35491259438770
BSX,Boston Scientific Corporation,15228000000,USD,13.64179104477610,9448000000,USD,2507000000,USD,1826000000,USD,3736000000,USD,1.236,USD,107.76601109430200
SCHW,Charles Schwab Corporation (The),25486000000,USD,1.6512444160816800,18899000000,USD,8975000000,USD,4864000000,USD,10396000000,USD,2.4067,USD,-30.066252106700800
MDT,Medtronic plc.,32577000000,USD,3.228975220229420,19634000000,USD,5924000000,USD,3928000000,USD,8561000000,USD,2.9686,USD,9.316541464133160
PANW,"Palo Alto Networks, Inc.",8027500000,USD,16.46379502952400,6209200000,USD,691100000,USD,2577600000,USD,,,7.2378,USD,470.75940383250500
CB,Chubb Limited,53780000000,USD,15.395343847226700,,,10432000000,USD,9716000000,USD,,,23.6742,USD,70.03663003663000
ADP,"Automatic Data Processing, Inc.",19202700000,USD,6.609409178223650,9590800000,USD,4942900000,USD,3752000000,USD,5504800000,USD,9.1023,USD,10.903574822721000
MMC,"Marsh & McLennan Companies, Inc.",23632000000,USD,9.144651764271200,,,6254000000,USD,4011000000,USD,6985000000,USD,8.066,USD,22.961065886155100
UPS,"United Parcel Service, Inc.",89320000000,USD,-6.821477378232610,15618000000,USD,7720000000,USD,5254000000,USD,11209000000,USD,6.127,USD,-46.88524021707090
ANET,"Arista Networks, Inc.",6311667000,USD,19.933747929741600,4040237000,USD,2602323000,USD,2462083000,USD,2665331000,USD,7.715,USD,42.39046177697390
KKR,KKR & Co. Inc.,23679766000,USD,105.17517913798400,9547397000,USD,5867784000,USD,3880695000,USD,5957184000,USD,4.2341,USD,226.75567217163100
LRCX,Lam Research Corporation,14905386000,USD,-14.477021451510800,7100672000,USD,4330751000,USD,3827772000,USD,4690450000,USD,29.0048,USD,-12.495927208659700
AMT,American Tower Corporation (REIT),11339700000,USD,3.887168587500230,5463400000,USD,4333000000,USD,2489500000,USD,6971900000,USD,5.3242,USD,157.41913648890400
DE,Deere & Company,55978000000,USD,-8.78307912918785,23867000000,USD,13891000000,USD,8217000000,USD,15966000000,USD,29.3046,USD,-13.36484820533740
CI,The Cigna Group,216008000000,USD,16.118974535406900,,,7627000000,USD,3708000000,USD,,,12.7147,USD,-42.06977305759440
FI,"Fiserv, Inc.",19780000000,USD,7.197051810101890,12059000000,USD,5389000000,USD,3451000000,USD,8404000000,USD,5.7663,USD,45.426344858893900
SHOP,Shopify Inc.,7692019846.264310,USD,20.598664178324400,3927789230.834570,USD,770882001.6369300,USD,1260484033.122200,USD,813427113.875,USD,0.9703696,USD,
